1,010101,哲学,哲学类,哲学
2,010102,逻辑学,哲学类,哲学
3,010103K,宗教学,哲学类,哲学
4,010104T,伦理学,哲学类,哲学
5,020101,经济学,经济学类,经济学
6,020102,经济统计学,经济学类,经济学
7,020103T,国民经济管理,经济学类,经济学
8,020104T,资源与环境经济学,经济学类,经济学
9,020105T,商务经济学,经济学类,经济学
10,020106T,能源经济,经济学类,经济学
11,020107T,劳动经济学,经济学类,经济学
12,020108T,经济工程,经济学类,经济学
13,020109T,数字经济,经济学类,经济学
14,020201K,财政学,财政学类,经济学
15,020202,税收学,财政学类,经济学
16,020203TK,国际税收,财政学类,经济学
17,020301K,金融学,金融学类,经济学
18,020302,金融工程,金融学类,经济学
19,020303,保险学,金融学类,经济学
20,020304,投资学,金融学类,经济学
21,020305T,金融数学,金融学类,经济学
22,020306T,信用管理（注：可授经济学或管理学学士学位）,金融学类,经济学
23,020307T,经济与金融,金融学类,经济学
24,020308T,精算学（注：可授经济学或理学学士学位）,金融学类,经济学
25,020309T,互联网金融,金融学类,经济学
26,020310T,金融科技,金融学类,经济学
27,020311TK,金融审计,金融学类,经济学
28,020401,国际经济与贸易,经济与贸易类,经济学
29,020402,贸易经济,经济与贸易类,经济学
30,020403T,国际经济发展合作,经济与贸易类,经济学
31,030101K,法学,法学类,法学
32,030102T,知识产权,法学类,法学
33,030103T,监狱学,法学类,法学
34,030104T,信用风险管理与法律防控,法学类,法学
35,030105T,国际经贸规则,法学类,法学
36,030106TK,司法警察学,法学类,法学
37,030107TK,社区矫正,法学类,法学
38,030108TK,纪检监察,法学类,法学
39,030109TK,国际法,法学类,法学
40,030110TK,司法鉴定学,法学类,法学
41,030111TK,国家安全学,法学类,法学
42,030112TK,海外利益安全,法学类,法学
43,030201,政治学与行政学,政治学类,法学
44,030202,国际政治,政治学类,法学
45,030203,外交学,政治学类,法学
46,030204T,国际事务与国际关系,政治学类,法学
47,030205T,政治学、经济学与哲学,政治学类,法学
48,030206TK,国际组织与全球治理,政治学类,法学
49,030301,社会学,社会学类,法学
50,030302,社会工作,社会学类,法学
51,030303T,人类学,社会学类,法学
52,030304T,女性学,社会学类,法学
53,030305T,家政学,社会学类,法学
54,030306T,老年学,社会学类,法学
55,030307T,社会政策,社会学类,法学
56,030401,民族学,民族学类,法学
57,030501,科学社会主义,马克思主义理论类,法学
58,030502,中国共产党历史,马克思主义理论类,法学
59,030503,思想政治教育,马克思主义理论类,法学
60,030504T,马克思主义理论,马克思主义理论类,法学
61,030505TK,工会学,马克思主义理论类,法学
62,030601K,治安学,公安学类,法学
63,030602K,侦查学,公安学类,法学
64,030603K,边防管理,公安学类,法学
65,030604TK,禁毒学,公安学类,法学
66,030605TK,警犬技术,公安学类,法学
67,030606TK,经济犯罪侦查,公安学类,法学
68,030607TK,边防指挥,公安学类,法学
69,030608TK,消防指挥,公安学类,法学
70,030609TK,警卫学,公安学类,法学
71,030610TK,公安情报学,公安学类,法学
72,030611TK,犯罪学,公安学类,法学
73,030612TK,公安管理学,公安学类,法学
74,030613TK,涉外警务,公安学类,法学
75,030614TK,国内安全保卫,公安学类,法学
76,030615TK,警务指挥与战术,公安学类,法学
77,030616TK,技术侦查学,公安学类,法学
78,030617TK,海警执法,公安学类,法学
79,030618TK,公安政治工作,公安学类,法学
80,030619TK,移民管理,公安学类,法学
81,030620TK,出入境管理,公安学类,法学
82,030621TK,反恐警务,公安学类,法学
83,030622TK,消防政治工作,公安学类,法学
84,030623TK,铁路警务,公安学类,法学
85,040101,教育学,教育学类,教育学
86,040102,科学教育,教育学类,教育学
87,040103,人文教育,教育学类,教育学
88,040104,教育技术学（注：可授教育学或理学或工学学士学位）,教育学类,教育学
89,040105,艺术教育（注：可授教育学或艺术学学士学位）,教育学类,教育学
90,040106,学前教育,教育学类,教育学
91,040107,小学教育,教育学类,教育学
92,040108,特殊教育,教育学类,教育学
93,040109T,华文教育,教育学类,教育学
94,040110TK,教育康复学,教育学类,教育学
95,040111T,卫生教育,教育学类,教育学
96,040112T,认知科学与技术,教育学类,教育学
97,040113T,融合教育,教育学类,教育学
98,040114TK,劳动教育,教育学类,教育学
99,040115T,家庭教育,教育学类,教育学
100,040116TK,孤独症儿童教育,教育学类,教育学
101,040117TK,人工智能教育,教育学类,教育学
102,040118T,婴幼儿发展与健康管理（注：可授教育学或管理学学士学位）,教育学类,教育学
103,040201,体育教育,体育学类,教育学
104,040202K,运动训练,体育学类,教育学
105,040203,社会体育指导与管理,体育学类,教育学
106,040204K,武术与民族传统体育,体育学类,教育学
107,040205,运动人体科学,体育学类,教育学
108,040206T,运动康复（注：可授教育学或理学学士学位）,体育学类,教育学
109,040207T,休闲体育,体育学类,教育学
110,040208T,体能训练,体育学类,教育学
111,040209T,冰雪运动,体育学类,教育学
112,040210TK,电子竞技运动与管理,体育学类,教育学
113,040211TK,智能体育工程（注：可授教育学或工学学士学位）,体育学类,教育学
114,040212TK,体育旅游,体育学类,教育学
115,040213T,运动能力开发（注：可授教育学或理学学士学位）,体育学类,教育学
116,040214TK,足球运动,体育学类,教育学
117,040215TK,马术运动与管理,体育学类,教育学
118,040216T,体育康养,体育学类,教育学
119,040217TK,航空运动,体育学类,教育学
120,050101,汉语言文学,中国语言文学类,文学
121,050102,汉语言,中国语言文学类,文学
122,050103,汉语国际教育,中国语言文学类,文学
123,050104,中国少数民族语言文学,中国语言文学类,文学
124,050105,古典文献学,中国语言文学类,文学
125,050106T,应用语言学,中国语言文学类,文学
126,050107T,秘书学,中国语言文学类,文学
127,050108T,中国语言与文化,中国语言文学类,文学
128,050109T,手语翻译,中国语言文学类,文学
129,050110T,数字人文,中国语言文学类,文学
130,050111T,中国古典学,中国语言文学类,文学
131,050112T,汉学与中国学,中国语言文学类,文学
132,050113T,应用中文,中国语言文学类,文学
133,050201,英语,外国语言文学类,文学
134,050202,俄语,外国语言文学类,文学
135,050203,德语,外国语言文学类,文学
136,050204,法语,外国语言文学类,文学
137,050205,西班牙语,外国语言文学类,文学
138,050206,阿拉伯语,外国语言文学类,文学
139,050207,日语,外国语言文学类,文学
140,050208,波斯语,外国语言文学类,文学
141,050209,朝鲜语,外国语言文学类,文学
142,050210,菲律宾语,外国语言文学类,文学
143,050211,梵语巴利语,外国语言文学类,文学
144,050212,印度尼西亚语,外国语言文学类,文学
145,050213,印地语,外国语言文学类,文学
146,050214,柬埔寨语,外国语言文学类,文学
147,050215,老挝语,外国语言文学类,文学
148,050216,缅甸语,外国语言文学类,文学
149,050217,马来语,外国语言文学类,文学
150,050218,蒙古语,外国语言文学类,文学
151,050219,僧伽罗语,外国语言文学类,文学
152,050220,泰语,外国语言文学类,文学
153,050221,乌尔都语,外国语言文学类,文学
154,050222,希伯来语,外国语言文学类,文学
155,050223,越南语,外国语言文学类,文学
156,050224,豪萨语,外国语言文学类,文学
157,050225,斯瓦希里语,外国语言文学类,文学
158,050226,阿尔巴尼亚语,外国语言文学类,文学
159,050227,保加利亚语,外国语言文学类,文学
160,050228,波兰语,外国语言文学类,文学
161,050229,捷克语,外国语言文学类,文学
162,050230,斯洛伐克语,外国语言文学类,文学
163,050231,罗马尼亚语,外国语言文学类,文学
164,050232,葡萄牙语,外国语言文学类,文学
165,050233,瑞典语,外国语言文学类,文学
166,050234,塞尔维亚语,外国语言文学类,文学
167,050235,土耳其语,外国语言文学类,文学
168,050236,希腊语,外国语言文学类,文学
169,050237,匈牙利语,外国语言文学类,文学
170,050238,意大利语,外国语言文学类,文学
